,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,43,107.929502998687,1.0,0.7194654446261275,180.29722300988672,1.5,0.6900676126017665,343.64212443593954,1.5,0.7292779131895802,129.01047065014382,1.0,0.3314313400241966,30.224381012132984,1.5,0.2461646185496365,4.5,1.5,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,0,0,dikesnet
1,87,102.59151435010946,1.5,0.6334680360796406,274.3185173386041,10.0,0.95403110266861,215.78035978819446,1.5,0.7736399006206117,130.35614084660773,10.0,0.023261438021515975,266.3127570910789,10.0,0.8877723363729678,4.5,1.5,3.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,1,0,dikesnet
2,28,230.33250581901558,1.0,0.7383674264142881,46.76551957976359,1.0,0.2175024869007631,103.48343193923263,1.0,0.1838368094090871,101.85192600737852,1.5,0.45604210911937776,69.8828031238198,1.5,0.7481184000804825,2.5,4.5,4.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,2,0,dikesnet
3,80,92.22978881239965,10.0,0.29231969812448577,139.1693214241559,1.0,0.22676938942645897,230.11417936342863,1.5,0.5978759694419262,336.17873384748754,1.5,0.32070717571221385,129.26454759550404,10.0,0.33465588832061915,3.5,3.5,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,3,0,dikesnet
4,26,196.52489912713332,1.5,0.3145892231163697,237.83648577237958,10.0,0.5346435023650998,274.90688725815124,1.0,0.5535460926798497,192.48779744798156,1.0,0.4839158509407681,133.37374866794377,10.0,0.14522984138491912,4.5,3.5,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,4,0,dikesnet
5,45,177.61207777501033,1.5,0.01891218569382481,152.72164423681318,1.5,0.3165955933043953,309.53216367073526,1.0,0.7045047566656503,335.113910929993,1.5,0.9821881932924368,86.18345133220632,1.5,0.05500983329268957,1.5,4.5,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,5,0,dikesnet
6,61,220.65176417335567,1.0,0.38767291548344823,183.43123629684416,10.0,0.41619215345083,229.76971357148346,1.5,0.7728922447541039,272.5651838938462,1.5,0.37464695701234707,278.71319497926106,1.5,0.7251395965276416,2.5,4.5,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,6,0,dikesnet
7,126,211.5889100266341,10.0,0.2546725667027788,104.99833073317174,1.0,0.40171333936461606,190.83078526133943,1.0,0.3445461492908501,346.4164007344938,1.5,0.3333524412383255,84.98373442580302,1.0,0.1802360628574368,4.5,4.5,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,7,0,dikesnet
8,31,272.88317098386176,10.0,0.10587957220607505,139.9394633764934,1.5,0.1473276116159302,191.71159659346668,1.5,0.9273481612403448,343.36808322924423,10.0,0.02816503988900596,129.86477642470157,10.0,0.4665347175827767,1.5,2.5,3.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,8,0,dikesnet
9,106,93.8904125409486,1.5,0.0969340264196765,77.11039243109637,1.0,0.45731174795956653,349.4427418240473,1.5,0.21006323063862403,34.58253618542607,10.0,0.7814442198731969,248.53164385481932,1.5,0.674146184982225,3.5,3.5,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,5,0,0,9,0,dikesnet
