,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,108,61.562632930281865,10.0,0.7182430001408009,273.5348440982217,1.5,0.7367944218772376,152.71270039548605,1.5,0.7074350222313173,326.61036796949645,1.5,0.862974880444775,66.89356363358581,1.0,0.6609415683092944,2.5,1.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,0,0,dikesnet
1,42,136.75322715936034,10.0,0.5675821430135299,287.21672383804423,10.0,0.13550188048008133,39.967248778306136,1.5,0.5874103100628608,119.20441736989723,1.5,0.5341034620436285,132.98271467112116,1.5,0.658523747216566,1.5,2.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,1,0,dikesnet
2,97,30.230463691972297,1.0,0.3748448340281006,53.21894361714604,10.0,0.6944213112250276,139.36130138585474,1.5,0.7125128766608522,66.57686728778634,10.0,0.18780601186291854,200.33175825513706,10.0,0.6145999079208148,4.5,2.5,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,2,0,dikesnet
3,51,63.33930992409515,10.0,0.3473030991426677,109.15933912294486,10.0,0.0937556916924622,238.42140649775524,1.5,0.2873095062837108,143.47924222517696,10.0,0.13521260974785804,340.48904683674056,1.5,0.6704979574232824,2.5,1.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,3,0,dikesnet
4,105,244.72510625533494,1.5,0.8403497759352557,263.43970425846624,10.0,0.5952940186032193,37.984036904627054,1.5,0.9692493346118544,222.14349604699032,1.5,0.024692259232123582,223.1314834374601,1.0,0.5594759943345868,1.5,1.5,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,4,0,dikesnet
5,4,152.63243013866477,1.5,0.49813585445092456,226.15256383589252,1.5,0.12509621490173178,129.8515391009184,10.0,0.017775007863404205,104.14737325953051,1.0,0.1970862609709717,89.791798452199,10.0,0.43815848019702197,3.5,1.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,5,0,dikesnet
6,28,237.599243114245,10.0,0.3258823084545802,42.2062542090346,10.0,0.3442205170845398,164.4536648612869,1.0,0.0425626815939715,114.25579293272129,10.0,0.5747537497195628,272.8004986652129,10.0,0.5319507386331784,2.5,1.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,6,0,dikesnet
7,49,262.83800171402527,1.0,0.29609728723143286,38.71686944346751,1.5,0.8478175287219111,344.8780809657574,1.5,0.5607293995552494,291.41116004477755,1.0,0.49145132936974395,77.17544792013403,1.5,0.3386627128346647,1.5,2.5,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,7,0,dikesnet
8,109,222.92785799050736,10.0,0.7202213727719456,30.180979983228678,1.0,0.11436514576832402,51.08365908172333,10.0,0.11303723245623878,47.31793984556373,1.5,0.06481140683207477,317.6246637402453,10.0,0.1346497084881175,4.5,4.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,8,0,dikesnet
9,118,319.08330792984606,1.0,0.1980749847665772,34.625795390249834,10.0,0.774756307642612,310.6465900609781,1.5,0.3216834811554167,255.32212274340333,1.5,0.4239053612728034,123.21580897102089,1.5,0.6245176455471775,1.5,1.5,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,9,0,dikesnet
10,38,117.43045546896424,1.5,0.8268480437654178,251.17465518298957,10.0,0.06538975867735013,262.34325653073887,10.0,0.9089439965257313,213.66804649101806,1.5,0.5761097259858148,146.74137677558159,1.0,0.39597557159396735,3.5,1.5,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,4,1,1,5,0,0,10,0,dikesnet
