,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,98,71.42513921791422,10.0,0.5894018506294338,107.96121279914644,1.0,0.5165472553375613,37.154852309883935,1.0,0.32504863581477556,281.01921434827705,10.0,0.39394374151631273,97.5311747581424,10.0,0.6101018796338791,4.5,2.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,0,0,dikesnet
1,35,72.30425363651975,10.0,0.9232931707661158,231.3753472807408,1.0,0.6178617696161074,282.43853553726126,1.5,0.22830982662890797,201.02390024000982,1.0,0.9595140254867993,324.08502474311257,10.0,0.3916850660829785,2.5,3.5,3.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,1,0,dikesnet
2,79,307.0510575933181,10.0,0.9171827614292956,267.6606314455402,10.0,0.5315881749051976,145.47907952037824,1.5,0.789750092146467,320.78108528833036,1.5,0.05731430180739713,161.73421459648404,10.0,0.10782204404650277,2.5,2.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,2,0,dikesnet
3,88,275.52288666495457,1.0,0.28431410296535353,155.25072693739403,1.5,0.2604056666078769,86.71518223285469,10.0,0.6459124840267221,121.11789209611419,1.5,0.5938819367406314,299.7479743772262,1.0,0.6940327297623801,1.5,4.5,3.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,3,0,dikesnet
4,128,48.18668592704863,10.0,0.19186415666731801,219.69051073796078,1.5,0.12012319119770641,142.27825628308818,1.0,0.4332401028724232,207.2243502929279,10.0,0.30008189021382575,35.56138651326228,10.0,0.05055164205871277,3.5,4.5,4.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,4,0,dikesnet
5,51,62.83471752345784,1.5,0.9300661967056041,91.2371141533271,1.0,0.2745404597219907,46.87320886465454,10.0,0.3983021753615282,133.74173027183363,1.0,0.595646184905237,172.2452432695585,10.0,0.16961848427292925,3.5,2.5,3.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,5,0,dikesnet
6,49,148.89632602188357,10.0,0.5355897287433228,70.35834016873685,10.0,0.2589042506224294,184.38040426698274,10.0,0.46039156949836496,326.02596690787885,10.0,0.18785028434944973,189.6721429086167,1.0,0.8263318085456202,2.5,4.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,6,0,dikesnet
7,95,37.538712685976236,10.0,0.26112544131079385,331.8031942163184,10.0,0.8754708980165811,93.92292456190432,1.5,0.5134355820771885,294.73952424228787,10.0,0.3477551288906155,309.9663025813162,1.0,0.10741967387500433,1.5,4.5,1.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,7,0,dikesnet
8,132,186.58731749559382,10.0,0.9214108178097768,132.47916489571156,10.0,0.09565567506433686,54.42797411965713,1.0,0.6175088264432578,333.64477019299295,1.0,0.9907773530468891,226.32511979585553,1.5,0.46002847802786284,3.5,4.5,3.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,8,0,dikesnet
9,70,132.40245548070848,1.0,0.15975663072368473,329.34246079683277,1.5,0.16358098954485004,58.41979516309571,10.0,0.40668372995119334,266.13846171018224,1.0,0.976149698325937,294.27287241577784,1.5,0.03972043413551257,1.5,4.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,9,0,dikesnet
10,81,109.12447084905058,10.0,0.44064338035934736,240.97498570900083,10.0,0.6589533918219368,257.5705306110398,1.0,0.8856193302564401,230.3450061327169,1.5,0.1330486733865885,169.8257860030838,1.0,0.2612412840786514,4.5,1.5,1.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,10,0,dikesnet
11,39,283.121427459773,1.5,0.0022872969052613796,290.44489277396286,10.0,0.0587157876747503,186.71836341545134,10.0,0.009793497907179772,167.7464356188666,1.0,0.2586871900610177,348.48366501585167,10.0,0.45890299574438886,3.5,4.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,11,0,dikesnet
12,87,56.647508022373955,1.5,0.28935025202403786,217.52223267414223,10.0,0.8607082187518704,75.67031705344951,1.5,0.27215287396192145,302.07924056237107,1.5,0.23395398788913954,48.61710773241273,10.0,0.5912130969256922,2.5,3.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,12,0,dikesnet
13,1,116.73764286971993,1.5,0.7066448957181102,78.76848586028444,1.5,0.6402370365931785,106.47063178486005,1.5,0.40349894497309957,334.9505874595744,1.5,0.9254665935469193,330.0573480779791,10.0,0.6904082728927313,1.5,3.5,1.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,13,0,dikesnet
14,123,40.18631857693076,1.5,0.9410146190981233,100.88403097312417,1.5,0.019870715174099756,249.15623220963386,1.5,0.31026167862756837,137.28259155078885,1.0,0.6969143327582131,177.27927482810725,1.0,0.9703863562475521,4.5,1.5,2.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,14,0,dikesnet
15,63,118.67573289405948,10.0,0.3449180394000649,143.68210742009558,1.5,0.5826190773398631,147.4689587568509,1.0,0.3570132132845048,254.62038762910393,10.0,0.8546842863237146,329.7520214790774,1.5,0.6514657077652293,4.5,4.5,1.5,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,3,1,0,3,0,0,15,0,dikesnet
