,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,14,46.300267688468466,1.5,0.384360637272326,176.55921786363433,10.0,0.1904517187316886,269.67254348741164,1.0,0.9765801185592261,152.98334670846086,1.5,0.9853899041686565,179.83730867295742,1.5,0.636383619164199,2.5,2.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,0,0,dikesnet
1,22,37.21200530987723,1.5,0.9243013064876542,202.79410411097615,10.0,0.23613611496125075,80.44368001476683,10.0,0.5986538505839082,347.5828683981788,1.0,0.8338555327708747,339.0291320112794,10.0,0.42519300324918596,4.5,4.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,1,0,dikesnet
2,119,302.0785153016978,1.0,0.15762472842905959,161.91107749690818,1.0,0.6776745275560111,240.52144014583945,10.0,0.642732274529655,227.84912230343917,1.5,0.45351241962262784,314.7189069429681,10.0,0.6376192711808435,4.5,3.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,2,0,dikesnet
3,86,202.64433619871585,10.0,0.7999101525318385,181.27966908529535,1.5,0.59910005027265,40.07476386837983,10.0,0.21850247959251265,76.41442398339156,1.5,0.495952790717037,73.4478061068161,1.5,0.7196070947670287,4.5,3.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,3,0,dikesnet
4,17,287.28753961762004,10.0,0.5060720033317431,33.15313934830583,10.0,0.22302154374984268,218.23680238801904,1.0,0.5652251940019837,208.19867550615226,1.0,0.5455823426250066,184.27426214236056,1.5,0.8070742520057489,2.5,3.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,4,0,dikesnet
5,80,38.92556057564156,10.0,0.9388205305432981,283.8195208698029,1.0,0.25312869036991315,206.86468248551483,1.5,0.9473729754276806,163.5516296366073,1.5,0.8146223855491119,128.14101642701206,1.5,0.2864498323059839,3.5,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,5,0,dikesnet
6,32,188.39054074469303,10.0,0.33004723626275345,291.23433018925914,1.5,0.6909184936041631,97.16490015772094,1.0,0.37711841881927544,339.86174414160377,1.5,0.6777311664814998,319.194251676034,1.0,0.9339112378879157,3.5,1.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,6,0,dikesnet
7,110,253.48571474594007,1.5,0.6128668930331176,94.22673423581898,1.0,0.10403334431455294,204.22560523058945,1.0,0.584891414446423,275.58302210888223,1.5,0.8015940723353802,288.9829962332723,10.0,0.17439729188475409,1.5,3.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,7,0,dikesnet
8,36,64.5251509364199,10.0,0.46435653833263324,333.6023355328904,10.0,0.4920448062274192,125.7453376043476,1.5,0.5685629200857513,267.2969450929663,1.5,0.19749819340633074,273.54991662919565,1.5,0.8045732492965043,4.5,1.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,8,0,dikesnet
9,118,331.57058718203865,1.5,0.6794233795970851,96.4455161070068,10.0,0.46334199963635764,348.2960856786394,10.0,0.3506208151779534,221.95202575592137,1.5,0.554475494907333,64.03707313550314,1.0,0.4422960731028055,3.5,2.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,9,0,dikesnet
10,64,272.07789267385533,1.5,0.8821404366452578,67.89406692139056,1.5,0.11346995154848707,345.9634484820642,10.0,0.7886347852069691,252.0458954602276,1.5,0.13945373500315028,156.69567174893493,1.0,0.023918676114089602,1.5,3.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,10,0,dikesnet
11,130,245.80268839353198,1.0,0.5184269212798246,105.30485931671076,1.0,0.6854953229454399,264.1273640731787,1.0,0.5340371219411231,250.58767041694284,1.5,0.9365587266660437,268.23169775403187,1.0,0.3899586254592078,2.5,4.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,11,0,dikesnet
12,94,49.82187577266287,1.5,0.31409296537468817,298.91569057228685,1.0,0.678958833005887,122.79404898782042,10.0,0.22416901697212147,237.95002968962424,1.5,0.011276310633817439,231.64013610482618,1.5,0.48280202318503485,1.5,4.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,12,0,dikesnet
13,8,162.60388488870774,1.0,0.008180174006217874,285.0815898803269,1.5,0.7879566464918825,58.49704754865082,10.0,0.32521381361308194,239.5964391016844,1.0,0.45045391576923544,153.82671324969064,1.0,0.6762893809746906,3.5,1.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,13,0,dikesnet
