,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,73,224.3227880300247,1.5,0.1209033807821025,51.6126562635245,1.0,0.8776129716316253,51.45372713750455,1.0,0.3630420372291129,149.80708835533065,1.5,0.9349655036862491,345.67794836912964,1.0,0.02120500507325132,2.5,3.5,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,0,0,dikesnet
1,73,309.04324915614757,10.0,0.16679386381845282,243.09175659230473,10.0,0.06568590401946313,212.84524094094405,1.0,0.9830076029197231,261.87280378042294,1.0,0.018669692670358555,70.5498384884288,1.0,0.5268879413656822,3.5,4.5,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,1,0,dikesnet
2,67,171.21349229665338,1.0,0.5665202262428608,40.81182142240728,10.0,0.34289843856042207,135.9540471979975,10.0,0.1177359337055808,132.13482831233802,1.0,0.8272606581400817,71.28344666755288,1.0,0.4790556630533365,3.5,2.5,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,2,0,dikesnet
3,94,98.60740307781884,10.0,0.6157033889151997,35.27681550009525,1.5,0.43434297527438653,207.76136515658726,1.0,0.5988823029324656,177.54645722626077,1.0,0.16092931086563841,305.92643357579163,1.0,0.8667740100758551,3.5,2.5,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,3,0,dikesnet
4,84,73.99269304192029,1.5,0.6619087045469169,230.78329631912305,1.5,0.40289923399764654,331.11259983032704,1.0,0.8682990499306079,141.90553039951737,1.5,0.6083331033827613,212.0461661761559,10.0,0.4834074120287446,1.5,4.5,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,4,0,dikesnet
5,15,228.51730262428032,10.0,0.4125998304102719,67.3102603350061,1.0,0.23779716636607184,172.80742994419774,1.0,0.25813330834735143,125.76903013160796,1.5,0.048011757814004456,279.44653651512596,10.0,0.8482659106009401,4.5,2.5,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,5,0,dikesnet
6,51,165.88167616291955,10.0,0.7648773979007352,257.24402399347775,10.0,0.8539545695838536,161.3078182734756,1.5,0.8932460122074117,293.7384924549982,1.5,0.2889140997307483,122.99452139231876,10.0,0.8265948164998524,2.5,2.5,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,6,0,dikesnet
7,110,81.84886391548432,10.0,0.32764929827685046,304.6664249688327,10.0,0.7425545867919331,265.9996374624963,1.0,0.27942996624343613,62.19544104582414,1.0,0.0627679608338933,228.44984641905583,1.0,0.06527188837767378,3.5,2.5,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,7,0,dikesnet
8,13,69.26114663806075,10.0,0.7746512997728808,330.83105663963687,10.0,0.020402206841168297,107.11496246530754,1.5,0.9800423680739916,171.99861226213577,1.0,0.6261026024765283,345.2682045808219,10.0,0.1670805031185618,2.5,2.5,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,8,0,dikesnet
9,62,53.55170791958404,1.5,0.4825294798008191,139.4802625966798,1.0,0.7479905807041785,102.44711384854551,1.0,0.4131514894107055,348.8677848947594,10.0,0.8271307001354306,212.24927932681942,10.0,0.9168291779730224,3.5,3.5,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,3,1,0,5,5,0,6,0,0,9,0,dikesnet
