0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,1,3,0,6,0,0,5.039912975639098,9295895.565743284,164672738.35194594,30700000.0,0.0,0.005166248350302298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,3,0,0,4.826092546293485,83283375.07040104,110918405.45745277,0.0,0.0,0.043860918033470885
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,3,0,1,6,0,0,5.039913091706526,4793849.9650357375,172255820.20904344,30700000.0,0.0,0.0033145354692853558
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9002145349787005,295198158.50119954,0.0,61400000.0,0.0,0.1964798876837754
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807640799992241,472555358.4122653,0.0,0.0,7802.1913791111965,0.17211888909802034
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.826092467943428,214797134.331633,22167818.198803753,0.0,3578.8198522487237,0.04896847360998085
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.993603199644201,181242549.31367376,6320800.309666242,151900000.0,0.0,0.1470147643014167
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0234836615315945,396115402.190408,6320800.309666242,84600000.0,7048.561018147144,0.1581564407967179
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.994683697291228,131285894.16142793,0.0,267200000.0,0.0,0.10125054045243653
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.057603107819845,117715157.77937737,6320800.309666242,236500000.0,2167.354001942849,0.040600935759029816
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.881195345444035,190665631.58363903,0.0,151900000.0,0.0,0.1504127746276437
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857541668480832,350041327.820487,0.0,30700000.0,0.0,0.27529890777368005
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,4.867971781254506,121351745.98102435,55658439.98158553,84600000.0,0.0,0.08300583849814339
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.057603107819845,113082613.76739462,0.0,492600000.0,2092.2585371163836,0.038364150919651646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.807640799992241,223863586.97336116,20299287.62732069,0.0,3724.8463074009815,0.05337354295717642
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.007095025294984,213787356.9999136,20299287.62732069,146000000.0,0.0,0.13836131309519425
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.964465422931721,185337213.69867498,51657302.02316066,0.0,4616.271948150317,0.018966460272830228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.807640799992241,198249778.38623586,45336501.71349442,0.0,0.0,0.1309932599072633
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,4,0,0,5.114128202838718,49408611.77012046,116076603.3592117,84600000.0,0.0,0.035469544354259905
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.963532274879908,459642793.7247044,6320800.309666242,0.0,7453.695120992375,0.1704808201861981
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90399074704393,272476142.6158744,0.0,92100000.0,0.0,0.1686186563797036
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08571348463553,208948751.08157796,0.0,176700000.0,0.0,0.1343842691867031
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.906839330678795,178416724.87429678,0.0,213300000.0,2979.3174377385703,0.03875152268339624
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.881195345444035,127138240.04934265,0.0,236500000.0,0.0,0.11617838743464319
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.007095025294984,231670766.96690315,0.0,146000000.0,0.0,0.16224550049077488
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5.114128202838718,138357178.10977572,30518832.761027623,84600000.0,0.0,0.0972389591907734
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,1,0,0,3,0,0,4.826092546293485,50248747.31014003,143613306.5516147,0.0,0.0,0.0278660472725845
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807640799992241,472555358.4122653,0.0,0.0,0.0,0.4781080252722788
0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5.057603107819845,47253777.711559825,30351526.042379983,810100000.0,999.5174475008073,0.010800734129571892
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5.005650308725819,193346633.44836366,53525832.59464373,0.0,0.0,0.1257178191702909
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,1,0,0,3,0,0,5.177603107819845,17774725.049570292,148974349.76832637,61400000.0,0.0,0.00899333764407519
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.92588885430021,206541531.2285987,20299287.62732069,115300000.0,0.0,0.13466183131486995
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,5.177603107819845,1302961.3585456607,158063077.86820304,61400000.0,47.521764358545255,8.821849681545741e-05
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4.981864999489016,73458259.02715005,86220733.68880565,30700000.0,0.0,0.05125120441801494
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857541668480832,350041327.820487,0.0,30700000.0,6328.843671501823,0.09910760679852479
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,4,3,0,4,0,0,5.177603107819845,15062047.892329667,169279329.3405885,30700000.0,0.0,0.010736832127389203
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.881195345444035,190665631.58363903,0.0,151900000.0,2822.878949863454,0.05414859886595173
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.937603107819845,108686375.02473816,6320800.309666242,303800000.0,0.0,0.07049819981133301
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,7,1,0,3,0,0,5.177603107819845,17521043.196604,156921726.6643171,30700000.0,0.0,0.012910197980800293
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.177603107819845,263238193.29416662,8453407.696608048,176700000.0,0.0,0.181224546073461
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4.941672166998285,102726801.68976386,37683606.26190176,92100000.0,0.0,0.061588350588388394
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.930754715047991,394511556.0260989,6320800.309666242,30700000.0,12091.441469375899,0.046877549921399156
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0234836615315945,396115402.190408,6320800.309666242,84600000.0,0.0,0.4393234466575498
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.867971781254506,160336195.43906477,20299287.62732069,84600000.0,3319.7122045557503,0.04104916356769624
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5.0971711846244725,311570325.6722104,27631367.846842468,30700000.0,0.0,0.2049584752642161
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90399074704393,272476142.6158744,0.0,92100000.0,5168.374976816367,0.0607027162966933
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,7,0,0,4,0,1,5.177603107819845,11349768.281332653,152918689.0812613,115300000.0,0.0,0.008132039171998354
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.166646400504102,340974986.09073997,7332080.219521779,61400000.0,6499.810881292893,0.08518865370507628
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,5.0971711846244725,134016825.26514985,52668581.933016196,30700000.0,0.0,0.0843297566650468
1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1446663235498935,269788475.1286233,0.0,432800000.0,0.0,0.17978913679754216
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.091079242172885,391542730.7298023,7332080.219521779,30700000.0,11967.653320401761,0.04670417467950386
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,3,0,0,4.931103070505166,59258275.40225673,132268222.35034615,0.0,0.0,0.03307319086559704
0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.937603107819845,38333017.71157375,0.0,675200000.0,0.0,0.02371916446344918
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9002145349787005,295198158.50119954,0.0,61400000.0,5529.9598219985,0.07073275956615914
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.826092467943428,214797134.331633,22167818.198803753,0.0,0.0,0.13602353780550236
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.904919579180591,277314748.53420997,20299287.62732069,61400000.0,5238.802929302606,0.06213445210375011
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.904919579180591,277314748.53420997,20299287.62732069,61400000.0,0.0,0.17259570028819476
0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5.1446663235498935,55852469.40976055,27578229.96765524,432800000.0,0.0,0.033732473957699634
0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4.937603107819845,11268431.113485806,68141987.19042079,675200000.0,0.0,0.0046527995917223855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,0,0,2,0,0,3,0,0,4.826092546293485,69979561.13689901,111929685.36730832,0.0,538.4962688256758,0.013838810678413966
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.906839330678795,178416724.87429678,0.0,213300000.0,0.0,0.10764311856498955
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,5.114128202838718,112743369.52265042,86220733.68880565,0.0,0.0,0.07997237755032441
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.918037662213953,79544164.994907,20299287.62732069,236500000.0,0.0,0.052978250144412674
1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,4.937603107819845,29708280.494040657,35362355.80767165,419100000.0,0.0,0.02065232122493274
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,4.826092528108401,97982888.4300032,109593023.32419169,0.0,0.0,0.04920350426316218
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.937603107819845,29019453.373455346,7332080.219521779,419100000.0,963.2418646713246,0.0030569423764657704
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.050067045048201,114889333.34000042,0.0,297900000.0,0.0,0.07340873137198903
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.057603107819845,117715157.77937737,6320800.309666242,236500000.0,0.0,0.11278037710841617
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,5,0,3,5,0,0,5.177603107819845,0.0,175197565.38868302,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,3,0,0,3,0,3,5,0,0,5.177603107819845,8252838.850090471,170783057.31675386,30700000.0,0.0,0.010570400969308256
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,5,0,0,7,0,0,5,0,0,5.177603107819845,0.0,160274325.40966475,61400000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,0,2,0,2,4,0,0,4.963454905005015,21411760.698352754,163310087.58551005,0.0,0.0,0.014821255901318657
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.964465422931721,185337213.69867498,51657302.02316066,0.0,0.0,0.12644306848553483
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.007095025294984,213787356.9999136,20299287.62732069,146000000.0,4833.668826457375,0.04981007271426993
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,5.114128202838718,112743369.52265042,58840144.550849974,84600000.0,0.0,0.07997237755032441
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.057603107819845,178740678.3914078,7332080.219521779,182600000.0,2772.0813840934106,0.04674000572336879
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5.057603107819845,70121082.72494173,26620087.93698693,236500000.0,0.0,0.04958023981818564
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,4,0,0,6,0,0,3,0,0,4,0,0,5.177603107819845,12439800.191536697,168879401.22710395,30700000.0,575.6813394862775,0.0010083002613930719
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.807640799992241,223863586.97336116,20299287.62732069,0.0,0.0,0.14825984154771227
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4.867971781254506,125655934.21021132,49746048.166458994,84600000.0,0.0,0.08452256897205288
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,3,0,0,3,0,0,5.177603107819845,17521043.196604,115844911.14880839,115300000.0,0.0,0.012910197980800293
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5.08571348463553,68084593.47951417,27578229.96765524,176700000.0,0.0,0.03842488199014255
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.8375812791483614,124390376.76236713,20299287.62732069,205800000.0,2377.764855281205,0.03772242968257902
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.890466937681691,284113196.24997354,6320800.309666242,121200000.0,4334.665434847861,0.09684615522796258
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5.0489221477039985,94523530.05394344,22167818.198803753,461900000.0,3102.5306387446526,0.01006355796483471
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5.166594084035926,323091576.12375045,27631367.846842468,61400000.0,0.0,0.21275096178518685
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.867971781254506,160336195.43906477,20299287.62732069,84600000.0,0.0,0.11402545435471177
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5.177603107819845,274700402.49044466,61447596.41809067,30700000.0,0.0,0.20619165115981875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,4,0,0,0,1,0,3,0,0,4.963454805382145,38631271.21654357,143613306.5516147,0.0,1763.4504223480449,0.002597936876244609
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.867971781254506,151269742.7973366,22167818.198803753,84600000.0,3173.685749403492,0.03664409422050067
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4.904919579180591,126670905.97196493,54198317.90464217,61400000.0,0.0,0.07584698559190241
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.007095025294984,231670766.96690315,0.0,146000000.0,5124.825719153268,0.05840838017667896
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5.166646400504102,222911601.91994032,32369294.305695508,61400000.0,3771.1058890977415,0.0563140034227852
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,0,0,4,0,0,5.177603107819845,11330359.853477444,109708434.62876719,432800000.0,0.0,0.004678481826444707
1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.057603107819845,115213286.85711136,7332080.219521779,267200000.0,0.0,0.09559896203857945
