0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,5,0,9,1,0,0,10,8,1,2,5,7,1,10,10,5.073488638973731,41092129.221057326,533241026.110445,1712100000.0,0.0,0.029906643027860752
0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,4,5,3,2,2,0,3,5,2,7,9,5,3,10,6,3,5.193488638973731,2056415.7465718403,558192904.8007903,612300000.0,96.86320331199542,0.00018086102555017083
1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,4,5,4,7,5,0,9,6,8,2,9,0,4,8,1,2,5.193488638973731,0.0,630932990.0443401,1093800000.0,0.0,0.0
0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,4,3,3,5,0,1,3,0,2,7,10,8,9,7,0,4,4.953488638973731,42991353.40969697,464153610.5151746,575500000.0,1902.606469737566,0.004948386400443813
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,4,2,9,9,7,10,0,2,7,5,0,10,3,8,4,5,5.193488638973731,15263737.818197079,728041655.204284,456000000.0,728.3125559920702,0.0017335036302093144
0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,4,7,1,0,9,8,2,2,7,6,10,2,8,5,3,4,5.193488638973731,1933667.143121758,657535312.7157228,619900000.0,74.38421839448185,0.0003154031353998052
1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,4,4,7,0,6,3,7,5,8,3,9,0,2,4,4,9,5.073488638973731,0.0,629037294.838069,917900000.0,0.0,0.0
0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,8,1,7,7,4,5,3,8,2,2,10,3,4,1,7,5.193488638973731,2759822.559780966,691670713.3543061,1063100000.0,49.585098236068966,0.001095476887599216
1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4,8,2,3,4,7,5,0,1,0,10,6,2,2,9,6,5.073488638973731,17261131.339691214,620934354.6634908,523300000.0,674.7331907290279,0.0027723414292649
1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,4,2,4,3,0,7,0,0,3,9,2,1,2,7,6,5,4.833488638973731,20614343.92334365,456710393.9962719,819600000.0,921.0429384696856,0.002295663360040572
