epsilon_progress,nfe
0,0
36,100
210,1100
413,2100
603,3100
738,4100
866,5100
946,6100
1038,7100
1107,8100
1160,9100
1199,10816
1322,11904
1404,12992
1480,14080
1537,15168
1600,16256
1641,17344
1676,18432
1725,19520
1763,20608
1807,21696
1834,22784
1867,23872
1896,24960
1925,26048
1940,27136
1962,28224
1985,29312
2002,30400
2028,31488
2053,32576
2073,33664
2092,34752
2109,35840
2122,36928
2139,38016
2157,39104
2194,40192
2222,41280
2234,42368
2260,43456
2279,44544
2293,45632
2314,46720
2328,47808
2345,48896
2357,49984
2373,51072
