0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,1,0,3,1,0,2,0,0,5.209459747347631,48273886.10460439,171347277.43388832,0.0,0.0,0.034662089823645964
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,5,0,0,5,2,0,5,0,0,5.209459747347631,15271040.703220367,165754831.43829888,0.0,612.7547131083779,0.0013692068854919601
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,6,5,0,0,5.209459747347631,0.0,132809626.57521786,176700000.0,0.0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,4,0,1,5,0,0,5.209459747347631,2051827.9745095558,156307339.18833047,61400000.0,0.0,0.0027903577538065157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807121457943559,422580740.17406374,0.0,0.0,0.0,0.40212977135504674
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,3,3,0,5,0,0,5.209459747347631,3684850.259687996,124490538.6023951,146000000.0,142.72176819942877,0.00042202305201550176
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.807121457943559,258871082.91538477,20299287.62732069,0.0,4562.018048261415,0.06654103597547466
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,3,0,0,5.209459747347631,22918209.713888083,139377745.20811203,61400000.0,0.0,0.011240267136982613
0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5.057327490945564,60011126.222858384,24198032.45136138,625800000.0,0.0,0.042195710791892084
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.902945016589004,315522377.88203895,0.0,61400000.0,0.0,0.24190688957665174
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,5.209459747347631,358726586.6502325,55174779.78262188,30700000.0,0.0,0.294815509612704
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.898590101073955,116856773.36612296,0.0,236500000.0,0.0,0.10901094921955644
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.994047266473855,94542272.37082645,0.0,267200000.0,0.0,0.06340610940762341
0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.209459747347631,308451565.8000013,6320800.309666242,604300000.0,6070.829446112808,0.07327413965762007
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,3,0,0,0,3,0,0,4,0,0,3,0,1,5,0,0,5.209459747347631,240499.58941385645,126367318.01123767,432800000.0,11.01028047293782,1.2897057089529737e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5.010651911145175,212808529.56349033,31530112.67088316,0.0,3638.198993587367,0.05033605630709803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.807121457943559,211155651.79190123,45336501.71349442,0.0,0.0,0.15258160898796377
0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.019133125501164,115296046.61089078,6320800.309666242,267200000.0,0.0,0.08184325052940228
